Testcase,Model,PATE,PATE_F1
../data/ground-truth\gt_cca.csv,knn-100-30,0.3572905001625394,0.0824000608411502
../data/ground-truth\gt_cca.csv,knn-200-60,0.3031593536851121,0.11577803395513804
../data/ground-truth\gt_cca.csv,knn-440-145,0.377119859688501,0.16422706915962731
../data/ground-truth\gt_dn.csv,knn-100-30,0.6657691546947857,0.15109541782625718
../data/ground-truth\gt_dn.csv,knn-200-60,0.6360244988864143,0.0
../data/ground-truth\gt_dn.csv,knn-440-145,0.6434764929426784,0.040126238111997656
../data/ground-truth\gt_fca.csv,knn-100-30,0.2698183267683426,0.24142442807850215
../data/ground-truth\gt_fca.csv,knn-200-60,0.3101468153862311,0.282926993587874
../data/ground-truth\gt_fca.csv,knn-440-145,0.04401632610358823,0.03341596177876994
../data/ground-truth\gt_ma.csv,knn-100-30,0.012781599631347973,0.006130488745132192
../data/ground-truth\gt_ma.csv,knn-200-60,0.09767297508163653,0.08129845918953789
../data/ground-truth\gt_ma.csv,knn-440-145,0.006287095368201926,0.0
../data/ground-truth\gt_mca.csv,knn-100-30,0.2765810137505874,0.10695465885403771
../data/ground-truth\gt_mca.csv,knn-200-60,0.3139361523952783,0.1634120503062677
../data/ground-truth\gt_mca.csv,knn-440-145,0.3266577737251451,0.18616503093007652
../data/ground-truth\gt_sa.csv,knn-100-30,0.45611527576606914,0.3613529338260018
../data/ground-truth\gt_sa.csv,knn-200-60,0.3219555220148461,0.24424080319415914
../data/ground-truth\gt_sa.csv,knn-440-145,0.23260604134916119,0.15274129907758155
../data/ground-truth\gt_sbma.csv,knn-100-30,0.7980867627106267,0.0
../data/ground-truth\gt_sbma.csv,knn-200-60,0.7980867627106267,0.0
../data/ground-truth\gt_sbma.csv,knn-440-145,0.7980867627106267,0.0
../data/ground-truth\gt_zero_block.csv,knn-100-30,0.02150426895626363,0.0
../data/ground-truth\gt_zero_block.csv,knn-200-60,0.09136925098318006,0.05807086690432556
../data/ground-truth\gt_zero_block.csv,knn-440-145,0.1328468065674911,0.10347565720182418
