Testcase,Model,PATE,PATE_F1
../data/ground-truth\gt_cca.csv,baseline-anomal,0.5645354410157235,0.22863185340309428
../data/ground-truth\gt_cca.csv,baseline-kan,0.4831229109415687,0.4294450647096385
../data/ground-truth\gt_cca.csv,hotsax,0.06453544101572352,0.0
../data/ground-truth\gt_cca.csv,isolation-forest,0.2088665800238283,0.030068265670678804
../data/ground-truth\gt_cca.csv,knn,0.377119859688501,0.16422706915962731
../data/ground-truth\gt_cca.csv,lstm-ae,0.6656282003164744,0.4840406607770579
../data/ground-truth\gt_cca.csv,statistical,0.3181826644932588,0.22863185340309428
../data/ground-truth\gt_dn.csv,baseline-anomal,0.6360244988864143,0.427497256560452
../data/ground-truth\gt_dn.csv,baseline-kan,0.6360244988864143,0.0
../data/ground-truth\gt_dn.csv,hotsax,0.754498159698028,0.674317849166834
../data/ground-truth\gt_dn.csv,isolation-forest,0.6360244988864143,0.0
../data/ground-truth\gt_dn.csv,knn,0.6434764929426784,0.040126238111997656
../data/ground-truth\gt_dn.csv,lstm-ae,0.13602449888641427,0.0
../data/ground-truth\gt_dn.csv,statistical,0.22180934605827446,0.427497256560452
../data/ground-truth\gt_fca.csv,baseline-anomal,0.5052576112412178,0.02081134904105574
../data/ground-truth\gt_fca.csv,baseline-kan,0.006474032137446759,0.0007134429108470763
../data/ground-truth\gt_fca.csv,hotsax,0.005257611241217799,0.0
../data/ground-truth\gt_fca.csv,isolation-forest,0.005257611241217799,0.0
../data/ground-truth\gt_fca.csv,knn,0.04401632610358823,0.03341596177876994
../data/ground-truth\gt_fca.csv,lstm-ae,0.005257611241217799,0.0
../data/ground-truth\gt_fca.csv,statistical,0.033594552498603394,0.02081134904105574
../data/ground-truth\gt_ma.csv,baseline-anomal,0.5062870953682019,0.024832932015800238
../data/ground-truth\gt_ma.csv,baseline-kan,0.19439037977424678,0.05082202892900356
../data/ground-truth\gt_ma.csv,hotsax,0.006287095368201926,0.0
../data/ground-truth\gt_ma.csv,isolation-forest,0.1254551987212233,0.11658599415129195
../data/ground-truth\gt_ma.csv,knn,0.006287095368201926,0.0
../data/ground-truth\gt_ma.csv,lstm-ae,0.041965957639337303,0.020694361348584822
../data/ground-truth\gt_ma.csv,statistical,0.13375715726367698,0.024832932015800238
../data/ground-truth\gt_mca.csv,baseline-anomal,0.5476909748729397,0.17415281324832335
../data/ground-truth\gt_mca.csv,baseline-kan,0.6289975599897186,0.4481568936463454
../data/ground-truth\gt_mca.csv,hotsax,0.04769097487293972,0.0
../data/ground-truth\gt_mca.csv,isolation-forest,0.19484117544901305,0.0442914334746355
../data/ground-truth\gt_mca.csv,knn,0.3266577737251451,0.18616503093007652
../data/ground-truth\gt_mca.csv,lstm-ae,0.7027974943629529,0.5975560015587749
../data/ground-truth\gt_mca.csv,statistical,0.45883754253186304,0.17415281324832335
../data/ground-truth\gt_sa.csv,baseline-anomal,0.5858551402246264,0.2786935831708759
../data/ground-truth\gt_sa.csv,baseline-kan,0.3771716010258132,0.06685003476736884
../data/ground-truth\gt_sa.csv,hotsax,0.29013758914386045,0.23087757758834204
../data/ground-truth\gt_sa.csv,isolation-forest,0.6583188807562727,0.6079521988996733
../data/ground-truth\gt_sa.csv,knn,0.23260604134916119,0.15274129907758155
../data/ground-truth\gt_sa.csv,lstm-ae,0.3100353482505714,0.02746399249987841
../data/ground-truth\gt_sa.csv,statistical,0.5426119524907314,0.2786935831708759
../data/ground-truth\gt_sbma.csv,baseline-anomal,0.7980867627106267,0.746636907405496
../data/ground-truth\gt_sbma.csv,baseline-kan,0.6915004891924817,0.5021479000251321
../data/ground-truth\gt_sbma.csv,hotsax,0.6271316970456541,0.47198546374692596
../data/ground-truth\gt_sbma.csv,isolation-forest,0.5667246683105901,0.00770600776697594
../data/ground-truth\gt_sbma.csv,knn,0.7980867627106267,0.0
../data/ground-truth\gt_sbma.csv,lstm-ae,0.8021507159480338,0.0394602259309747
../data/ground-truth\gt_sbma.csv,statistical,0.6637765272175881,0.746636907405496
../data/ground-truth\gt_zero_block.csv,baseline-anomal,0.5215042689562637,0.08247013463449378
../data/ground-truth\gt_zero_block.csv,baseline-kan,0.6952648831753212,0.5327985399637608
../data/ground-truth\gt_zero_block.csv,hotsax,0.02150426895626363,0.0
../data/ground-truth\gt_zero_block.csv,isolation-forest,0.02150426895626363,0.0
../data/ground-truth\gt_zero_block.csv,knn,0.1328468065674911,0.10347565720182418
../data/ground-truth\gt_zero_block.csv,lstm-ae,0.02150426895626363,0.0
../data/ground-truth\gt_zero_block.csv,statistical,0.05952482736168414,0.08247013463449378
